ticker,report_date,market_cap,eps_ttm,revenue,net_income,total_equity,source
AAPL,2025-09-30,4040889204736,7.47,102466000000.0,27466000000.0,73733000000.0,yfinance
AAPL,2025-06-30,4040889204736,7.47,94036000000.0,23434000000.0,65830000000.0,yfinance
AAPL,2025-03-31,4040889204736,7.47,95359000000.0,24780000000.0,66796000000.0,yfinance
AAPL,2024-12-31,4040889204736,7.47,124300000000.0,36330000000.0,66758000000.0,yfinance
AAPL,2024-09-30,4040889204736,7.47,94930000000.0,14736000000.0,56950000000.0,yfinance
DRI,2025-08-31,20432838656,9.33,3044700000.0,257800000.0,2225600000.0,yfinance
DRI,2025-05-31,20432838656,9.33,3271700000.0,303800000.0,2311300000.0,yfinance
DRI,2025-02-28,20432838656,9.33,3158000000.0,323400000.0,2203000000.0,yfinance
DRI,2024-11-30,20432838656,9.33,2890000000.0,215100000.0,2070900000.0,yfinance
DRI,2024-08-31,20432838656,9.33,2757000000.0,207200000.0,2143700000.0,yfinance
FCX,2024-09-30,60036259840,1.43,6790000000.0,526000000.0,17548000000.0,yfinance
FCX,2024-12-31,60036259840,1.43,5720000000.0,274000000.0,17581000000.0,yfinance
FCX,2025-03-31,60036259840,1.43,5728000000.0,352000000.0,17688000000.0,yfinance
FCX,2025-06-30,60036259840,1.43,7582000000.0,772000000.0,18208000000.0,yfinance
FCX,2025-09-30,60036259840,1.43,6972000000.0,674000000.0,18685000000.0,yfinance
KEYS,2024-07-31,31630143488,3.15,1217000000.0,389000000.0,5230000000.0,yfinance
KEYS,2024-10-31,31630143488,3.15,1287000000.0,-73000000.0,5105000000.0,yfinance
KEYS,2025-01-31,31630143488,3.15,1298000000.0,169000000.0,5187000000.0,yfinance
KEYS,2025-04-30,31630143488,3.15,1306000000.0,257000000.0,5477000000.0,yfinance
KEYS,2025-07-31,31630143488,3.15,1352000000.0,191000000.0,5670000000.0,yfinance
KMB,2024-09-30,34553102336,5.91,4952000000.0,907000000.0,1285000000.0,yfinance
KMB,2024-12-31,34553102336,5.91,4928000000.0,447000000.0,840000000.0,yfinance
KMB,2025-03-31,34553102336,5.91,4840000000.0,567000000.0,1101000000.0,yfinance
KMB,2025-06-30,34553102336,5.91,4163000000.0,509000000.0,1271000000.0,yfinance
KMB,2025-09-30,34553102336,5.91,4150000000.0,446000000.0,1332000000.0,yfinance
META,2024-09-30,1535026528256,22.59,40589000000.0,15688000000.0,164529000000.0,yfinance
META,2024-12-31,1535026528256,22.59,48385000000.0,20838000000.0,182637000000.0,yfinance
META,2025-03-31,1535026528256,22.59,42314000000.0,16644000000.0,185029000000.0,yfinance
META,2025-06-30,1535026528256,22.59,47516000000.0,18337000000.0,195070000000.0,yfinance
META,2025-09-30,1535026528256,22.59,51242000000.0,2709000000.0,194066000000.0,yfinance
MNST,2025-09-30,68860452864,1.76,2197139000.0,524455000.0,7745160000.0,yfinance
MNST,2025-06-30,68860452864,1.76,2111593000.0,488794000.0,7191304000.0,yfinance
MNST,2025-03-31,68860452864,1.76,1854558000.0,442993000.0,6519439000.0,yfinance
MNST,2024-12-31,68860452864,1.76,1812041000.0,270711000.0,5957718000.0,yfinance
MNST,2024-09-30,68860452864,1.76,1880973000.0,370919000.0,5779400000.0,yfinance
ORA,2024-09-30,6766228992,2.18,211784000.0,22082000.0,2388797000.0,yfinance
ORA,2024-12-31,6766228992,2.18,230741000.0,40821000.0,2425129000.0,yfinance
ORA,2025-03-31,6766228992,2.18,229762000.0,40362000.0,2461204000.0,yfinance
ORA,2025-06-30,6766228992,2.18,234018000.0,28046000.0,2492948000.0,yfinance
ORA,2025-09-30,6766228992,2.18,249727000.0,24137000.0,2509797000.0,yfinance
TROW,2025-09-30,22864689152,9.17,1893500000.0,646100000.0,10814500000.0,yfinance
TROW,2025-06-30,22864689152,9.17,1723300000.0,505200000.0,10560500000.0,yfinance
TROW,2025-03-31,22864689152,9.17,1763900000.0,490500000.0,10394700000.0,yfinance
TROW,2024-12-31,22864689152,9.17,1824500000.0,439900000.0,10345400000.0,yfinance
TROW,2024-09-30,22864689152,9.17,1785600000.0,603000000.0,10249300000.0,yfinance
TTE,2024-09-30,138019094528,6.19,47429000000.0,2294000000.0,116059000000.0,yfinance
TTE,2024-12-31,138019094528,6.19,47115000000.0,3956000000.0,117858000000.0,yfinance
TTE,2025-03-31,138019094528,6.19,47899000000.0,3851000000.0,117956000000.0,yfinance
TTE,2025-06-30,138019094528,6.19,44676000000.0,2687000000.0,116642000000.0,yfinance
TTE,2025-09-30,138019094528,6.19,43844000000.0,3683000000.0,115281000000.0,yfinance
